pitcherName,pitchType,total_pitches,Whiff%,Strike%,Ball%,InPlay%,Command,Velo,Role,p_all,Usage%,Contact,Whiff%_z_raw,Whiff%_z_shrunk,Whiff%_z,Command_z_raw,Command_z_shrunk,Command_z,Strike%_z_raw,Strike%_z_shrunk,Strike%_z,Contact_z_raw,Contact_z_shrunk,Contact_z,Velo_z_raw,Velo_z_shrunk,Velo_z,Pitch_z,Pitch_z_std,PitchScore_20_80,RankEligible
陳仕朋,FF,1254.0,0.0944055944055944,0.6562998405103668,0.33891547049441784,0.23205741626794257,0.19772264362150216,137.85957792207793,Starter,2801,0.4476972509817922,-0.23205741626794257,-0.48221491314417186,-0.415885489052814,-0.415885489052814,0.15478475351268162,0.1334938658218038,0.1334938658218038,0.269561405251325,0.23248280755513173,0.23248280755513173,-0.36900020212512796,-0.3182436406223593,-0.3182436406223593,-1.0508162164979689,-0.906274783692196,-0.906274783692196,-0.18325964321194038,-1.0931849454517544,39.06815054548245,True
陳仕朋,FO,300.0,0.3973509933774834,0.5633333333333334,0.43666666666666665,0.19,0.09772366063333127,127.41414141414141,Starter,2801,0.10710460549803641,-0.19,0.5642734400565667,0.33856406403393996,0.33856406403393996,0.42526073398103764,0.25515644038862256,0.25515644038862256,-0.19555265820287815,-0.11733159492172689,-0.11733159492172689,0.195122940536704,0.1170737643220224,0.1170737643220224,-0.7683363656056457,-0.46100181936338736,-0.46100181936338736,0.11335289303495688,0.8730715870560191,58.73071587056019,True
陳仕朋,SL,842.0,0.2403846153846154,0.666270783847981,0.32422802850356297,0.20902612826603326,0.18322083420286894,129.85852478839178,Starter,2801,0.3006069260978222,-0.20902612826603326,-0.07572626497394139,-0.061191473232301966,-0.061191473232301966,0.8338449965912156,0.6737979722934775,0.6737979722934775,0.47092750622831187,0.380538349562609,0.380538349562609,-0.06412042391548259,-0.05181324082229975,-0.05181324082229975,0.2640606663980952,0.21337723714702128,0.21337723714702128,0.2397654586075578,1.7602705496589532,67.60270549658954,True
陳克羿,CU,302.0,0.2773109243697479,0.5596026490066225,0.4370860927152318,0.16556291390728478,0.018424628435672497,123.37373737373737,Starter,1748,0.17276887871853547,-0.16556291390728478,0.223183850361896,0.13426598169181791,0.13426598169181791,-0.2287544029079083,-0.13761719059400063,-0.13761719059400063,0.02120588601375248,0.012757325848910855,0.012757325848910855,-0.06718838569239671,-0.04042010454004743,-0.04042010454004743,0.637403232409638,0.38345772148946355,0.38345772148946355,0.04070971849676663,0.14620277296764947,51.46202772967649,True
陳克羿,FF,715.0,0.11604095563139932,0.5888111888111888,0.4027972027972028,0.206993006993007,0.11481406112121284,140.92989985693848,Starter,1748,0.40903890160183065,-0.206993006993007,-0.18092154476253125,-0.14137585191826213,-0.14137585191826213,-0.655648473044799,-0.5123373313956626,-0.5123373313956626,-0.4108868866817641,-0.3210755453305588,-0.3210755453305588,-0.12634806118734762,-0.09873099863273611,-0.09873099863273611,-0.3021480773829958,-0.2361047817801552,-0.2361047817801552,-0.27313232546343197,-1.5043200320611283,34.956799679388716,True
陳克羿,FO,70.0,0.25,0.5,0.5,0.2,-0.10235979707688925,132.82608695652175,Starter,1748,0.04004576659038902,-0.2,-0.2107339654575766,-0.05463473178529764,-0.05463473178529764,-0.9851307356150415,-0.25540426478908484,-0.25540426478908484,-0.5544243875813821,-0.14373965603961758,-0.14373965603961758,0.1474305363945898,0.03822273165785661,0.03822273165785661,0.33916349737352874,0.08793127709684079,0.08793127709684079,-0.09446287948242145,-1.4451274309191309,35.548725690808695,False
陳克羿,SL,661.0,0.24742268041237114,0.6475037821482602,0.3524962178517398,0.19364599092284418,0.09890530751984117,128.16615384615383,Starter,1748,0.3781464530892448,-0.19364599092284418,-0.029557232767850813,-0.022691441184145632,-0.022691441184145632,0.13585127801907446,0.10429465130151942,0.10429465130151942,0.3446996360419533,0.26463003417390374,0.26463003417390374,0.048894840890124525,0.03753715427220942,0.03753715427220942,-0.07897097688853716,-0.06062696367401053,-0.06062696367401053,0.07176011407834729,0.3383039689237761,53.38303968923776,True
陳冠偉,FF,802.0,0.18706697459584296,0.7356608478802993,0.25561097256857856,0.1745635910224439,0.30205352495939014,143.22721437740694,Reliever,1226,0.6541598694942904,-0.1745635910224439,0.8081845890889203,0.6468702998496149,0.6468702998496149,1.174621424727693,0.9401660505305487,0.9401660505305487,1.0697116609070845,0.8561963593288242,0.8561963593288242,0.18760576586286934,0.15015950521159802,0.15015950521159802,0.2580297226948483,0.20652678403320196,0.20652678403320196,0.6435184786383463,2.6890265810993164,76.89026581099316,True
陳冠偉,FO,296.0,0.4689655172413793,0.6081081081081081,0.3918918918918919,0.125,-0.012024777157849775,130.62116040955632,Reliever,1226,0.24143556280587275,-0.125,0.9409372484552269,0.5615270676265064,0.5615270676265064,-0.348357746195152,-0.20789091305194554,-0.20789091305194554,0.05815893425959178,0.03470775109040155,0.03470775109040155,0.5051235674604462,0.30144470961349207,0.30144470961349207,-0.11205239708081673,-0.06686997890306805,-0.06686997890306805,0.16195665079476285,1.415249796841622,64.15249796841621,True
陳冠偉,SL,128.0,0.3448275862068966,0.6171875,0.3828125,0.1640625,0.014303201593155568,131.57142857142858,Reliever,1226,0.10440456769983687,-0.1640625,0.6094096160639884,0.23781838675667838,0.23781838675667838,-0.564514844780562,-0.22029847601192665,-0.22029847601192665,0.140790679844622,0.05494270432960859,0.05494270432960859,0.26627820918625295,0.10391344748731822,0.10391344748731822,0.6112541715701978,0.23853821329568695,0.23853821329568695,0.06670027634261,0.29547842557976534,52.954784255797655,True
陳冠勳,CH,42.0,0.25,0.5238095238095238,0.4523809523809524,0.16666666666666666,0.17897021034465765,133.3095238095238,Reliever,574,0.07317073170731707,-0.16666666666666666,-0.0009253472291340652,-0.00016059745299020967,-0.00016059745299020967,0.5287537181430989,0.09176717422318245,0.09176717422318245,-0.0988227680065822,-0.017151058910233274,-0.017151058910233274,0.2161834252546344,0.03751943744088696,0.03751943744088696,0.6093187846144619,0.10574954113143553,0.10574954113143553,0.0356662722671285,-0.1289838373854917,48.71016162614508,False
陳冠勳,CU,20.0,0.25,0.65,0.35,0.1,0.14548182090807338,123.47368421052632,Reliever,574,0.03484320557491289,-0.1,0.08854475010979745,0.008049522737254315,0.008049522737254315,0.4493568958141528,0.04085062689219571,0.04085062689219571,0.5093740226444554,0.04630672933131413,0.04630672933131413,0.42684771014545914,0.038804337285950834,0.038804337285950834,0.6549274071035481,0.05953885519123165,0.05953885519123165,0.03366339552250384,0.07253934135849847,50.72539341358498,False
陳冠勳,FF,286.0,0.1262135922330097,0.527972027972028,0.46153846153846156,0.17832167832167833,0.1476199865355925,142.42049469964664,Reliever,574,0.49825783972125437,-0.17832167832167833,-0.039257723436269557,-0.02310228169294875,-0.02310228169294875,-0.33496982697474975,-0.19712216155304202,-0.19712216155304202,-1.024292282009192,-0.6027728243922406,-0.6027728243922406,0.1512231837326683,0.08899142087971838,0.08899142087971838,0.06131897615104461,0.03608482958682872,0.03608482958682872,-0.15980859368395262,-0.9859048572510936,40.140951427489064,True
陳冠勳,SL,226.0,0.31932773109243695,0.7079646017699115,0.2831858407079646,0.168141592920354,0.171180819747752,130.0045045045045,Reliever,574,0.39372822299651566,-0.168141592920354,0.44213300986793275,0.2345588268313446,0.2345588268313446,0.7341735031925858,0.389491107327522,0.389491107327522,0.7513623844487051,0.39861009128029895,0.39861009128029895,0.23630449983152912,0.12536342009841686,0.12536342009841686,0.29364972436102843,0.1557860040037381,0.1557860040037381,0.28184555655248,2.1164288204533612,71.16428820453362,True
陳冠宇,CH,1.0,,0.0,1.0,0.0,,136.0,Reliever,1117,0.0008952551477170994,-0.0,,,,,,,-2.4201091745576484,-0.012040344152028102,-0.012040344152028102,1.192679382055913,0.00593372826893489,0.00593372826893489,1.1075738782171614,0.005510317802075429,0.005510317802075429,,,,False
陳冠宇,CU,59.0,0.16,0.5254237288135594,0.4576271186440678,0.1694915254237288,0.0699250592600279,115.6896551724138,Reliever,1117,0.052820053715308866,-0.1694915254237288,-0.3551428694901947,-0.08090127142826828,-0.08090127142826828,0.046106259062371126,0.01050297021111929,0.01050297021111929,-0.16336876799264058,-0.03721527919523473,-0.03721527919523473,-0.09679164430277998,-0.022049061829590804,-0.022049061829590804,-0.7098850178699778,-0.16171125889702195,-0.16171125889702195,-0.04856617987888842,-0.7871023080457029,42.12897691954297,False
陳冠宇,FF,618.0,0.1494661921708185,0.6601941747572816,0.3300970873786408,0.1553398058252427,0.23656571943505955,142.9641638225256,Reliever,1117,0.5532676812891674,-0.1553398058252427,0.28455726101322126,0.2149833585650009,0.2149833585650009,0.5344766781802913,0.40379778375968217,0.40379778375968217,0.3088256818343162,0.23331818016333422,0.23331818016333422,0.37371398743957224,0.28234137437366214,0.28234137437366214,0.19388740355230427,0.14648217040993158,0.14648217040993158,0.26910751273913014,0.97623153552896,59.7623153552896,True
陳冠宇,FO,183.0,0.23655913978494625,0.5901639344262295,0.4098360655737705,0.25136612021857924,0.056965667079386884,133.13142857142856,Reliever,1117,0.1638316920322292,-0.25136612021857924,-0.2814275248587096,-0.13446798185155054,-0.13446798185155054,0.13795699041224213,0.0659167865416196,0.0659167865416196,-0.0435198548164716,-0.020794082066355885,-0.020794082066355885,-0.09754684007310047,-0.04660854238479735,-0.04660854238479735,0.401648567487962,0.19191041214176774,0.19191041214176774,-0.015820254476874265,-0.567863622448568,44.32136377551432,True
陳冠宇,KN,1.0,0.0,1.0,0.0,1.0,,144.0,Reliever,1117,0.0008952551477170994,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44721359549995815,0.0022249432611938214,0.0022249432611938214,-0.7302967433402214,-0.0036333171310458778,-0.0036333171310458778,0.9965704385978046,0.004958061883571167,0.004958061883571167,0.00039579727093899946,0.4512095654064309,54.51209565406431,False
陳冠宇,SL,255.0,0.32432432432432434,0.6196078431372549,0.3803921568627451,0.13333333333333333,-0.04789860206922303,124.48770491803279,Reliever,1117,0.22829006266786034,-0.13333333333333333,0.47491018270364654,0.266158454042703,0.266158454042703,-1.0794433514056336,-0.6049627573811793,-0.6049627573811793,0.15707003891455823,0.08802826356749967,0.08802826356749967,0.4920801529918386,0.2757811846437777,0.2757811846437777,-0.824566607885789,-0.46211974727665095,-0.46211974727665095,-0.05863229745008244,-0.7653136099959116,42.34686390004089,True
陳冠豪,CH,33.0,0.3125,0.5757575757575758,0.42424242424242425,0.18181818181818182,-0.08872640522906095,126.96969696969697,Reliever,91,0.3626373626373626,-0.18181818181818182,0.3305820062632712,0.04682062749651481,0.04682062749651481,-0.8692913453117835,-0.12311851671797792,-0.12311851671797792,0.13138745413071368,0.018608523546410093,0.018608523546410093,0.12741106554542717,0.018045344047206424,0.018045344047206424,-0.5647674335370236,-0.07998852062970721,-0.07998852062970721,-0.018303786677147778,-0.6976066020631131,43.02393397936887,False
