pitcherName,WeightedScore_z,TotalPitches,Role,Overall_20_80
楊孟沅,-0.6899265159947079,43,Reliever,40.9677284627422
錡龍,-0.7170374285069142,80,Starter,40.65509938365823
林子崴,-0.7171761663798906,472,Starter,40.65349952996673
王鏡銘,-0.7307217593740724,674,Reliever,40.497298728480956
游霆崴,-0.7380648983966208,313,Starter,40.41262143150058
劉昱言,-0.7432157594040516,133,Reliever,40.353224355414795
賴胤豪,-0.7439698061691757,72,Reliever,40.34452907650595
林旺熙,-0.7795940251845201,420,Reliever,39.933728931773146
王溢正,-0.786253083132393,152,Starter,39.856940105396575
藍愷青,-0.7866715114316112,314,Reliever,39.85211500576969
張瑞麟,-0.7993486638930934,231,Reliever,39.70592861319969
鄭澔,-0.8008669441661659,33,Reliever,39.68842058711063
王玉譜,-0.8008810374046071,91,Reliever,39.68825807114392
徐基麟,-0.8219543468104785,710,Starter,39.445251521296406
王志煊,-0.8663127638625978,778,Reliever,38.93373310352338
小野寺賢人,-0.8694077795715994,763,Starter,38.89804297651567
張喜凱,-0.8697654972294468,53,Starter,38.89391796073487
宋文華,-0.9070909064397872,84,Starter,38.46350056690472
曹祐齊,-0.9323058807615183,707,Starter,38.17273447049319
曾家輝,-0.9982607915315922,192,Starter,37.412176410862045
楊達翔,-1.0042316491979943,500,Starter,37.34332355566035
陳鴻文,-1.032993327865003,1191,Starter,37.011658691538656
魏碩成,-1.043631452768534,1619,Starter,36.88898531452585
江承諺,-1.3381425677591143,1742,Starter,33.49283483017593
伍鐸,-1.5269875320511344,2037,Starter,31.3151719702601
陳宇宏,-1.7788106247451387,737,Starter,28.41127777173183
黃子鵬,-1.9449155391903898,2877,Starter,26.495841453940617
